Date,Predicted Price,Lower Confidence Bound,Upper Confidence Bound
2026-05-14,262.82,245.63,282.09
2026-05-15,262.78,244.01,280.17
2026-05-18,262.04,243.98,280.2
2026-05-19,261.35,243.27,279.19
2026-05-20,261.03,242.2,279.9
2026-05-21,260.33,240.92,279.35
2026-05-22,260.35,243.35,278.31
2026-05-25,260.1,241.52,276.61
2026-05-26,259.65,240.99,277.21
2026-05-27,259.59,241.63,276.82
2026-05-28,259.18,241.23,278.19
2026-05-29,259.5,241.07,276.79
2026-06-01,260.16,242.84,278.54
2026-06-02,260.0,241.72,278.14
2026-06-03,260.22,240.87,278.1
2026-06-04,260.06,241.02,277.85
2026-06-05,260.6,242.19,278.37
2026-06-08,261.79,243.55,280.51
2026-06-09,261.76,243.59,280.95
2026-06-10,262.07,243.98,281.28
2026-06-11,261.99,245.32,280.38
2026-06-12,262.6,245.43,282.08
2026-06-15,263.93,245.38,281.62
2026-06-16,263.93,243.94,283.61
2026-06-17,264.3,245.81,282.74
2026-06-18,264.27,245.08,281.86
2026-06-19,264.95,248.07,282.78
2026-06-22,266.57,249.3,283.12
2026-06-23,266.71,246.33,284.51
2026-06-24,267.22,249.18,284.83
2026-06-25,267.36,249.13,285.59
2026-06-26,268.22,250.82,286.86
2026-06-29,270.41,250.3,288.99
2026-06-30,270.73,252.7,289.62
2026-07-01,271.42,253.13,289.96
2026-07-02,271.71,254.41,288.19
2026-07-03,272.7,253.87,292.62
2026-07-06,275.11,256.82,293.62
2026-07-07,275.43,258.42,292.82
2026-07-08,276.08,257.78,293.95
2026-07-09,276.28,258.68,294.27
2026-07-10,277.14,259.19,296.59
2026-07-13,278.89,260.25,297.21
2026-07-14,278.91,260.19,297.88
2026-07-15,279.23,260.24,297.98
2026-07-16,279.08,260.18,296.07
2026-07-17,279.58,261.23,297.86
2026-07-20,280.19,261.74,297.85
2026-07-21,279.86,262.62,296.95
2026-07-22,279.84,261.26,298.5
2026-07-23,279.38,260.99,297.42
2026-07-24,279.59,261.41,297.36
2026-07-27,279.65,260.25,297.87
2026-07-28,279.23,260.4,295.81
2026-07-29,279.17,262.41,298.85
2026-07-30,278.73,260.53,296.1
2026-07-31,279.02,261.66,297.97
2026-08-03,279.58,261.0,297.8
2026-08-04,279.4,260.38,296.72
2026-08-05,279.62,262.07,297.11
2026-08-06,279.48,259.17,298.28
2026-08-07,280.08,262.66,296.92
2026-08-10,281.57,263.78,300.41
2026-08-11,281.67,261.91,300.28
2026-08-12,282.14,262.41,301.49
2026-08-13,282.23,264.71,300.36
2026-08-14,283.01,265.75,301.1
2026-08-17,284.76,265.54,304.2
2026-08-18,284.86,266.42,302.26
2026-08-19,285.27,267.89,304.94
2026-08-20,285.25,267.72,304.24
2026-08-21,285.87,267.99,304.2
2026-08-24,286.93,269.3,304.59
2026-08-25,286.74,267.82,304.1
2026-08-26,286.84,268.42,304.35
2026-08-27,286.49,269.08,304.01
2026-08-28,286.79,268.65,305.07
2026-08-31,286.91,268.61,302.37
2026-09-01,286.44,267.46,302.98
2026-09-02,286.29,268.54,304.09
2026-09-03,285.73,267.78,303.09
2026-09-04,285.85,267.53,303.5
2026-09-07,285.66,268.3,303.91
2026-09-08,285.17,267.0,302.96
2026-09-09,285.04,267.87,302.99
2026-09-10,284.53,267.04,302.97
2026-09-11,284.73,266.09,302.87
2026-09-14,284.94,264.7,303.22
2026-09-15,284.61,266.93,302.73
2026-09-16,284.65,267.17,301.53
