Date,Actual Price,Predicted Price
2025-05-14,211.49,226.79
2025-05-15,210.61,226.8
2025-05-16,210.43,227.22
2025-05-19,207.96,228.3
2025-05-20,206.04,228.07
2025-05-21,201.29,228.26
2025-05-22,200.56,228.27
2025-05-23,194.5,228.7
2025-05-27,199.42,229.7
2025-05-28,199.63,229.95
2025-05-29,199.16,230.01
2025-05-30,200.06,230.49
2025-06-02,200.9,231.81
2025-06-03,202.47,231.66
2025-06-04,202.02,231.93
2025-06-05,199.84,232.01
2025-06-06,203.11,232.49
2025-06-09,200.65,233.77
2025-06-10,201.87,233.61
2025-06-11,197.99,233.86
2025-06-12,198.41,233.92
2025-06-13,195.67,234.4
2025-06-16,197.64,235.73
2025-06-17,194.87,235.61
2025-06-18,195.8,235.93
2025-06-20,200.21,236.67
2025-06-23,200.7,238.44
2025-06-24,199.51,238.51
2025-06-25,200.76,239.02
2025-06-26,200.21,239.38
2025-06-27,200.29,240.18
2025-06-30,204.36,242.58
2025-07-01,207.0,242.83
2025-07-02,211.6,243.51
2025-07-03,212.71,244.01
2025-07-07,209.12,247.45
2025-07-08,209.18,247.67
2025-07-09,210.31,248.27
2025-07-10,211.57,248.65
2025-07-11,210.33,249.39
2025-07-14,207.8,251.18
2025-07-15,208.28,251.08
2025-07-16,209.33,251.34
2025-07-17,209.19,251.35
2025-07-18,210.35,251.72
2025-07-21,211.64,252.34
2025-07-22,213.55,251.87
2025-07-23,213.3,251.77
2025-07-24,212.92,251.45
2025-07-25,213.03,251.52
2025-07-28,213.2,251.47
2025-07-29,210.44,250.87
2025-07-30,208.22,250.68
2025-07-31,206.75,250.32
2025-08-01,201.58,250.39
2025-08-04,202.55,250.63
2025-08-05,202.12,250.19
2025-08-06,212.41,250.2
2025-08-07,219.16,250.07
2025-08-08,228.44,250.38
2025-08-11,226.54,251.37
2025-08-12,229.0,251.18
2025-08-13,232.67,251.43
2025-08-14,232.12,251.5
2025-08-15,230.94,252.0
2025-08-18,230.24,253.36
2025-08-19,229.91,253.21
2025-08-20,225.37,253.47
2025-08-21,224.27,253.51
2025-08-22,227.12,253.93
2025-08-25,226.52,254.85
2025-08-26,228.66,254.49
2025-08-27,229.84,254.51
2025-08-28,231.9,254.29
2025-08-29,231.49,254.44
2025-09-02,229.07,253.84
2025-09-03,237.8,253.58
2025-09-04,239.1,253.1
2025-09-05,239.01,253.0
2025-09-08,237.21,252.45
2025-09-09,233.69,251.65
2025-09-10,226.15,251.27
2025-09-11,229.38,250.7
2025-09-12,233.41,250.54
2025-09-15,236.03,249.98
