Date,AAPL,MSFT,SPY
2021-05-20,100.0,100.0,100.0
2021-05-21,98.52,99.47,99.92
2021-05-24,99.84,101.74,100.94
2021-05-25,99.68,102.13,100.71
2021-05-26,99.64,102.03,100.91
2021-05-27,98.41,101.15,100.97
2021-05-28,97.88,101.3,101.15
2021-06-01,97.62,100.37,101.06
2021-06-02,98.23,100.33,101.22
2021-06-03,97.04,99.69,100.84
2021-06-04,98.88,101.75,101.76
2021-06-07,98.89,102.97,101.66
2021-06-08,99.55,102.47,101.69
2021-06-09,99.86,102.88,101.53
2021-06-10,99.06,104.37,102.01
2021-06-11,100.03,104.63,102.17
2021-06-14,102.49,105.44,102.4
2021-06-15,101.83,104.82,102.22
2021-06-16,102.23,104.42,101.64
2021-06-17,103.52,105.85,101.61
2021-06-18,102.47,105.25,100.24
2021-06-21,103.92,106.55,101.68
2021-06-22,105.24,107.72,102.22
2021-06-23,105.02,107.62,102.1
2021-06-24,104.79,108.2,102.7
2021-06-25,104.56,107.52,103.06
2021-06-28,105.87,109.02,103.27
2021-06-29,107.09,110.11,103.33
2021-06-30,107.58,109.91,103.41
2021-07-01,107.82,110.19,103.99
2021-07-02,109.94,112.65,104.78
2021-07-06,111.55,112.65,104.59
2021-07-07,113.56,113.57,104.96
2021-07-08,112.51,112.55,104.11
2021-07-09,113.98,112.76,105.22
2021-07-12,113.5,112.51,105.59
2021-07-13,114.4,114.0,105.23
2021-07-14,117.15,114.62,105.39
2021-07-15,116.63,114.02,105.03
2021-07-16,114.99,113.9,104.21
2021-07-19,111.89,112.39,102.67
2021-07-20,114.8,113.32,104.14
2021-07-21,114.21,114.17,104.98
2021-07-22,115.31,116.09,105.2
2021-07-23,116.69,117.52,106.28
2021-07-26,117.03,117.27,106.55
2021-07-27,115.29,116.25,106.06
2021-07-28,113.88,116.12,106.02
2021-07-29,114.4,116.24,106.46
2021-07-30,114.57,115.59,105.94
2021-08-02,114.3,115.56,105.72
2021-08-03,115.75,116.49,106.58
2021-08-04,115.43,116.24,106.05
2021-08-05,115.51,117.46,106.72
2021-08-06,114.96,117.44,106.9
2021-08-09,114.92,116.98,106.81
2021-08-10,114.54,116.21,106.95
2021-08-11,114.74,116.42,107.21
2021-08-12,117.13,117.58,107.53
2021-08-13,117.29,118.81,107.73
2021-08-16,118.88,119.52,107.98
2021-08-17,118.15,118.91,107.28
2021-08-18,115.14,118.18,106.1
2021-08-19,115.4,120.63,106.27
2021-08-20,116.58,123.72,107.11
2021-08-23,117.77,123.84,108.05
2021-08-24,117.7,123.01,108.22
2021-08-25,116.71,122.76,108.45
2021-08-26,116.06,121.58,107.81
2021-08-27,116.9,121.83,108.78
2021-08-30,120.45,123.41,109.25
2021-08-31,119.44,122.71,109.09
2021-09-01,119.97,122.69,109.15
2021-09-02,120.87,122.41,109.49
2021-09-03,121.38,122.41,109.46
2021-09-07,123.26,122.02,109.07
2021-09-08,122.02,122.03,108.93
2021-09-09,121.2,120.83,108.47
2021-09-10,117.19,120.2,107.61
2021-09-13,117.65,120.72,107.89
2021-09-14,116.52,121.86,107.31
2021-09-15,117.24,123.91,108.2
2021-09-16,117.05,124.07,108.03
2021-09-17,114.9,121.89,106.98
2021-09-20,112.45,119.63,105.2
2021-09-21,112.83,119.83,105.1
2021-09-22,114.73,121.37,106.12
2021-09-23,115.51,121.77,107.41
2021-09-24,115.58,121.68,107.59
2021-09-27,114.36,119.58,107.28
2021-09-28,111.64,115.25,105.12
2021-09-29,112.36,115.44,105.29
2021-09-30,111.31,114.6,104.01
2021-10-01,112.22,117.52,105.24
2021-10-04,109.46,115.08,103.89
2021-10-05,111.01,117.38,104.97
2021-10-06,111.71,119.15,105.4
2021-10-07,112.72,119.85,106.32
2021-10-08,112.41,119.85,106.12
2021-10-11,112.34,119.6,105.35
2021-10-12,111.32,119.05,105.09
2021-10-13,110.85,120.45,105.47
2021-10-14,113.09,123.06,107.25
2021-10-15,113.94,123.66,108.06
2021-10-18,115.29,124.91,108.38
2021-10-19,117.02,125.29,109.22
2021-10-20,117.42,124.96,109.65
2021-10-21,117.59,126.32,109.93
2021-10-22,116.97,125.67,109.82
2021-10-25,116.93,125.25,110.41
2021-10-26,117.46,126.06,110.51
2021-10-27,117.09,131.37,110.02
2021-10-28,120.02,131.84,111.08
2021-10-29,117.84,134.8,111.31
2021-11-01,117.18,133.89,111.5
2021-11-02,118.01,135.41,111.95
2021-11-03,119.17,135.77,112.63
2021-11-04,118.75,136.76,113.16
2021-11-05,119.18,136.6,113.55
2021-11-08,118.52,136.98,113.65
2021-11-09,118.81,136.56,113.28
2021-11-10,116.53,134.47,112.36
2021-11-11,116.49,135.13,112.4
2021-11-12,118.16,136.87,113.25
2021-11-15,118.17,136.61,113.29
2021-11-16,118.96,138.01,113.74
2021-11-17,120.92,138.1,113.46
2021-11-18,124.37,138.98,113.85
2021-11-19,126.48,139.73,113.64
2021-11-22,126.85,138.39,113.32
2021-11-23,127.16,137.51,113.47
2021-11-24,127.58,137.61,113.77
2021-11-26,123.54,134.26,111.24
2021-11-29,126.24,137.09,112.6
2021-11-30,130.22,134.63,110.41
2021-12-01,129.81,134.42,109.18
2021-12-02,129.01,134.18,110.86
2021-12-03,127.5,131.54,109.89
2021-12-06,130.24,132.84,111.19
2021-12-07,134.86,136.39,113.49
2021-12-08,137.93,136.41,113.79
2021-12-09,137.52,135.65,113.03
2021-12-10,141.37,139.49,114.09
2021-12-13,138.45,138.21,113.08
2021-12-14,137.34,133.71,112.3
2021-12-15,141.25,136.28,114.06
2021-12-16,135.71,132.31,113.05
2021-12-17,134.83,131.86,111.85
2021-12-20,133.73,130.28,110.66
2021-12-21,136.28,133.28,112.62
2021-12-22,138.37,135.69,113.75
2021-12-23,138.88,136.3,114.46
2021-12-27,142.07,139.46,116.08
2021-12-28,141.25,138.97,115.98
2021-12-29,141.32,139.25,116.13
2021-12-30,140.39,138.18,115.81
2021-12-31,139.89,136.96,115.52
2022-01-03,143.39,136.32,116.19
2022-01-04,141.57,133.98,116.15
2022-01-05,137.8,128.84,113.92
2022-01-06,135.5,127.82,113.81
2022-01-07,135.64,127.89,113.36
2022-01-10,135.65,127.98,113.22
2022-01-11,137.93,128.27,114.25
2022-01-12,138.28,129.61,114.56
2022-01-13,135.65,124.12,112.98
2022-01-14,136.35,126.32,113.03
2022-01-18,133.77,123.25,111.03
2022-01-19,130.96,123.53,109.87
2022-01-20,129.6,122.82,108.66
2022-01-21,127.95,120.55,106.52
2022-01-24,127.33,120.69,106.98
2022-01-25,125.88,117.48,105.67
2022-01-26,125.81,120.83,105.4
2022-01-27,125.43,122.1,104.88
2022-01-28,134.19,125.53,107.49
2022-01-31,137.69,126.64,109.42
2022-02-01,137.56,125.74,110.16
2022-02-02,138.53,127.65,111.23
2022-02-03,136.21,122.68,108.62
2022-02-04,135.98,124.59,109.13
2022-02-07,135.41,122.56,108.78
2022-02-08,137.91,124.03,109.68
2022-02-09,139.05,126.73,111.28
2022-02-10,135.77,123.14,109.28
2022-02-11,133.03,120.15,107.13
2022-02-14,133.21,120.13,106.78
2022-02-15,136.3,122.36,108.5
2022-02-16,136.11,122.22,108.62
2022-02-17,133.21,118.64,106.3
2022-02-18,131.97,117.5,105.61
2022-02-22,129.62,117.41,104.48
2022-02-23,126.27,114.37,102.62
2022-02-24,128.37,120.21,104.17
2022-02-25,130.04,121.32,106.47
2022-02-28,130.25,121.93,106.19
2022-03-01,128.73,120.36,104.58
2022-03-02,131.38,122.5,106.5
2022-03-03,131.12,120.76,105.97
2022-03-04,128.71,118.28,105.11
2022-03-07,125.66,113.82,102.01
2022-03-08,124.19,112.57,101.24
2022-03-09,128.54,117.73,103.95
2022-03-10,125.04,116.54,103.48
2022-03-11,122.05,114.29,102.17
2022-03-14,118.81,112.81,101.42
2022-03-15,122.34,117.18,103.65
2022-03-16,125.89,120.13,105.95
2022-03-17,126.7,120.47,107.27
2022-03-18,129.35,122.6,108.45
2022-03-21,130.45,122.08,108.42
2022-03-22,133.17,124.08,109.69
2022-03-23,134.26,122.21,108.27
2022-03-24,137.31,124.1,109.91
2022-03-25,137.82,123.92,110.44
2022-03-28,138.52,126.79,111.23
2022-03-29,141.17,128.71,112.6
2022-03-30,140.23,128.08,111.91
2022-03-31,137.73,125.81,110.19
2022-04-01,137.5,126.27,110.5
2022-04-04,140.76,128.53,111.45
2022-04-05,138.09,126.86,110.04
2022-04-06,135.54,122.22,108.94
2022-04-07,135.79,122.98,109.49
2022-04-08,134.17,121.19,109.19
2022-04-11,130.75,116.41,107.33
2022-04-12,132.25,115.1,106.93
2022-04-13,134.41,117.37,108.15
2022-04-14,130.38,114.19,106.81
2022-04-18,130.21,114.47,106.85
2022-04-19,132.05,116.42,108.58
2022-04-20,131.91,116.86,108.5
2022-04-21,131.27,114.59,106.87
2022-04-22,127.62,111.82,103.94
2022-04-25,128.48,114.55,104.54
2022-04-26,123.69,110.27,101.52
2022-04-27,123.5,115.57,101.8
2022-04-28,129.08,118.19,104.37
2022-04-29,124.36,113.25,100.52
2022-05-02,124.6,116.09,101.12
2022-05-03,125.8,114.99,101.58
2022-05-04,130.96,118.33,104.68
2022-05-05,123.66,113.18,100.96
2022-05-06,124.25,112.11,100.35
2022-05-09,120.12,107.97,97.14
2022-05-10,122.06,109.98,97.37
2022-05-11,115.73,106.32,95.82
2022-05-12,112.62,104.2,95.72
2022-05-13,116.21,106.56,98.01
2022-05-16,114.97,106.71,97.61
2022-05-17,117.9,108.88,99.62
2022-05-18,111.24,103.93,95.6
2022-05-19,108.5,103.54,95.02
2022-05-20,108.69,103.3,95.06
2022-05-23,113.05,106.61,96.84
2022-05-24,110.88,106.19,96.1
2022-05-25,111.01,107.38,96.95
2022-05-26,113.58,108.76,98.88
2022-05-27,118.21,111.76,101.31
2022-05-31,117.58,111.2,100.74
2022-06-01,117.48,111.43,99.93
2022-06-02,119.45,112.31,101.83
2022-06-03,114.85,110.45,100.16
2022-06-06,115.45,109.93,100.46
2022-06-07,117.48,111.46,101.43
2022-06-08,116.88,110.6,100.33
2022-06-09,112.68,108.31,97.94
2022-06-10,108.33,103.48,95.1
2022-06-13,104.18,99.09,91.49
2022-06-14,104.88,100.0,91.21
2022-06-15,106.99,102.98,92.51
2022-06-16,102.74,100.2,89.45
2022-06-17,103.93,101.3,89.64
2022-06-21,107.33,103.79,91.9
2022-06-22,106.92,103.54,91.73
2022-06-23,109.23,105.88,92.63
2022-06-24,111.91,109.5,95.58
2022-06-27,111.91,108.35,95.21
2022-06-28,108.57,104.91,93.27
2022-06-29,109.99,106.45,93.19
2022-06-30,108.0,105.05,92.44
2022-07-01,109.75,106.17,93.41
2022-07-05,111.83,107.51,93.59
2022-07-06,112.9,108.89,93.91
2022-07-07,115.61,109.78,95.31
2022-07-08,116.16,109.48,95.23
2022-07-11,114.44,108.19,94.15
2022-07-12,115.23,103.76,93.31
2022-07-13,114.93,103.37,92.82
2022-07-14,117.29,103.93,92.6
2022-07-15,118.63,105.0,94.37
2022-07-18,116.18,103.99,93.59
2022-07-19,119.29,106.15,96.12
2022-07-20,120.9,107.28,96.73
2022-07-21,122.72,108.33,97.71
2022-07-22,121.73,106.49,96.81
2022-07-25,120.83,105.87,96.92
2022-07-26,119.76,103.03,95.78
2022-07-27,123.86,109.92,98.26
2022-07-28,124.3,113.06,99.5
2022-07-29,128.38,114.83,100.95
2022-08-01,127.59,113.71,100.65
2022-08-02,126.4,112.41,99.98
2022-08-03,131.24,115.54,101.55
2022-08-04,130.99,116.02,101.48
2022-08-05,130.8,115.72,101.31
2022-08-08,130.42,114.66,101.19
2022-08-09,130.46,115.47,100.79
2022-08-10,133.88,118.27,102.91
2022-08-11,133.29,117.4,102.91
2022-08-12,136.14,119.4,104.65
2022-08-15,137.01,120.04,105.08
2022-08-16,136.88,119.73,105.29
2022-08-17,138.08,119.41,104.54
2022-08-18,137.76,118.94,104.84
2022-08-19,135.68,117.29,103.43
2022-08-22,132.56,113.85,101.28
2022-08-23,132.29,113.31,101.04
2022-08-24,132.53,113.04,101.36
2022-08-25,134.51,114.3,102.79
2022-08-26,129.43,109.89,99.31
2022-08-29,127.66,108.72,98.65
2022-08-30,125.71,107.79,97.57
2022-08-31,124.37,107.17,96.83
2022-09-01,124.96,106.74,97.13
2022-09-02,123.26,104.96,96.11
2022-09-06,122.24,103.81,95.75
2022-09-07,123.38,105.79,97.47
2022-09-08,122.19,105.97,98.1
2022-09-09,124.49,108.4,99.63
2022-09-12,129.28,109.3,100.7
2022-09-13,121.7,103.29,96.32
2022-09-14,122.86,103.38,96.69
2022-09-15,120.54,100.58,95.59
2022-09-16,119.21,100.32,94.86
2022-09-19,122.2,100.23,95.6
2022-09-20,124.12,99.38,94.5
2022-09-21,121.6,97.94,92.85
2022-09-22,120.83,98.78,92.07
2022-09-23,119.0,97.52,90.53
2022-09-26,119.27,97.33,89.63
2022-09-27,120.05,96.9,89.4
2022-09-28,118.53,98.81,91.16
2022-09-29,112.71,97.35,89.26
2022-09-30,109.33,95.46,87.88
2022-10-03,112.69,98.68,90.2
2022-10-04,115.58,102.01,92.99
2022-10-05,115.81,102.15,92.78
2022-10-06,115.05,101.16,91.82
2022-10-07,110.82,96.01,89.26
2022-10-10,111.08,93.97,88.58
2022-10-11,109.94,92.39,88.01
2022-10-12,109.44,92.53,87.72
2022-10-13,113.11,96.01,90.04
2022-10-14,109.47,93.69,87.99
2022-10-17,112.66,97.36,90.25
2022-10-18,113.72,97.76,91.31
2022-10-19,113.8,96.93,90.66
2022-10-20,113.43,96.8,89.9
2022-10-21,116.5,99.24,92.09
2022-10-24,118.23,101.35,93.21
2022-10-25,120.51,102.74,94.7
2022-10-26,118.15,94.82,93.99
2022-10-27,114.55,92.94,93.49
2022-10-28,123.2,96.68,95.71
2022-10-31,121.3,95.15,95.02
2022-11-01,119.17,93.53,94.6
2022-11-02,114.73,90.22,92.23
2022-11-03,109.86,87.82,91.28
2022-11-04,109.65,90.75,92.59
2022-11-07,110.08,93.4,93.48
2022-11-08,110.54,93.81,93.98
2022-11-09,106.87,92.03,92.05
2022-11-10,116.38,99.6,97.11
2022-11-11,118.62,101.29,98.05
2022-11-14,117.49,99.01,97.21
2022-11-15,118.89,99.18,98.04
2022-11-16,117.9,99.36,97.29
2022-11-17,119.43,99.34,97.0
2022-11-18,119.88,99.15,97.44
2022-11-21,117.28,99.49,97.08
2022-11-22,119.0,100.72,98.39
2022-11-23,119.71,101.77,99.01
2022-11-25,117.36,101.73,98.99
2022-11-28,114.28,99.38,97.41
2022-11-29,111.86,98.79,97.24
2022-11-30,117.3,104.87,100.3
2022-12-01,117.52,104.69,100.23
2022-12-02,117.12,104.83,100.11
2022-12-05,116.19,102.84,98.31
2022-12-06,113.24,100.76,96.89
2022-12-07,111.68,100.45,96.73
2022-12-08,113.03,101.69,97.49
2022-12-09,112.64,100.88,96.76
2022-12-12,114.49,103.79,98.15
2022-12-13,115.27,105.61,98.9
2022-12-14,113.48,105.73,98.26
2022-12-15,108.16,102.36,95.86
2022-12-16,106.58,100.58,94.73
2022-12-19,104.89,98.84,93.93
2022-12-20,104.83,99.39,94.05
2022-12-21,107.33,100.47,95.46
2022-12-22,104.78,97.91,94.1
2022-12-23,104.48,98.13,94.64
2022-12-27,103.03,97.4,94.27
2022-12-28,99.87,96.4,93.1
2022-12-29,102.7,99.07,94.77
2022-12-30,102.95,98.58,94.52
2023-01-03,99.1,98.48,94.12
2023-01-04,100.13,94.17,94.85
2023-01-05,99.06,91.38,93.77
2023-01-06,102.71,92.46,95.92
2023-01-09,103.13,93.36,95.86
2023-01-10,103.59,94.07,96.54
2023-01-11,105.78,96.91,97.76
2023-01-12,105.71,98.04,98.11
2023-01-13,106.78,98.34,98.49
2023-01-17,107.72,98.8,98.31
2023-01-18,107.14,96.93,96.76
2023-01-19,107.19,95.33,96.06
2023-01-20,109.25,98.74,97.85
2023-01-23,111.81,99.71,99.02
2023-01-24,112.94,99.49,98.91
2023-01-25,112.41,98.9,98.95
2023-01-26,114.07,101.94,100.04
2023-01-27,115.63,102.01,100.27
2023-01-30,113.31,99.77,99.01
2023-01-31,114.33,101.86,100.47
2023-02-01,115.24,103.89,101.53
2023-02-02,119.51,108.76,103.01
2023-02-03,122.42,106.19,101.92
2023-02-06,120.23,105.54,101.29
2023-02-07,122.54,109.98,102.62
2023-02-08,120.38,109.64,101.5
2023-02-09,119.55,108.36,100.62
2023-02-10,119.84,108.15,100.85
2023-02-13,122.09,111.53,102.04
2023-02-14,121.58,111.88,101.99
2023-02-15,123.27,110.98,102.32
2023-02-16,121.98,108.03,100.91
2023-02-17,121.06,106.34,100.66
2023-02-21,117.83,104.12,98.64
2023-02-22,118.17,103.64,98.5
2023-02-23,118.56,104.99,99.03
2023-02-24,116.43,102.7,97.97
2023-02-27,117.39,103.09,98.3
2023-02-28,116.98,102.78,97.94
2023-03-01,115.32,101.48,97.56
2023-03-02,115.79,103.48,98.32
2023-03-03,119.86,105.2,99.9
2023-03-06,122.08,105.85,99.97
2023-03-07,120.31,104.73,98.44
2023-03-08,121.32,104.54,98.6
2023-03-09,119.51,103.98,96.78
2023-03-10,117.85,102.44,95.38
2023-03-13,119.41,104.63,95.25
2023-03-14,121.09,107.47,96.82
2023-03-15,121.41,109.38,96.21
2023-03-16,123.68,113.82,97.9
2023-03-17,123.01,115.15,96.76
2023-03-20,124.91,112.18,97.69
2023-03-21,126.4,112.82,98.97
2023-03-22,125.25,112.2,97.28
2023-03-23,126.13,114.42,97.55
2023-03-24,127.17,115.62,98.19
2023-03-27,125.61,113.89,98.37
2023-03-28,125.11,113.42,98.15
2023-03-29,127.59,115.59,99.58
2023-03-30,128.85,117.05,100.16
2023-03-31,130.86,118.8,101.57
2023-04-03,131.87,118.36,101.96
2023-04-04,131.44,118.34,101.39
2023-04-05,129.96,117.17,101.13
2023-04-06,130.67,120.16,101.52
2023-04-10,128.59,119.25,101.63
2023-04-11,127.61,116.55,101.65
2023-04-12,127.05,116.82,101.24
2023-04-13,131.39,119.44,102.58
2023-04-14,131.11,117.91,102.33
2023-04-17,131.13,119.01,102.7
2023-04-18,132.11,118.83,102.77
2023-04-19,133.03,118.86,102.75
2023-04-20,132.25,117.9,102.19
2023-04-21,130.96,117.76,102.27
2023-04-24,131.2,116.11,102.38
2023-04-25,129.97,113.49,100.75
2023-04-26,129.96,121.72,100.32
2023-04-27,133.65,125.61,102.32
2023-04-28,134.66,126.62,103.19
2023-05-01,134.59,125.91,103.09
2023-05-02,133.75,125.85,101.93
2023-05-03,132.89,125.44,101.23
2023-05-04,131.57,125.85,100.51
2023-05-05,137.74,128.01,102.38
2023-05-08,137.69,127.19,102.4
2023-05-09,136.32,126.51,101.95
2023-05-10,137.74,128.7,102.43
2023-05-11,137.89,127.79,102.25
2023-05-12,137.14,127.32,102.12
2023-05-15,136.74,127.52,102.47
2023-05-16,136.74,128.46,101.78
2023-05-17,137.23,129.68,103.02
2023-05-18,139.11,131.54,104.01
2023-05-19,139.2,131.47,103.86
2023-05-22,138.43,132.64,103.9
2023-05-23,136.34,130.2,102.74
2023-05-24,136.56,129.61,101.99
2023-05-25,137.47,134.6,102.88
2023-05-26,139.41,137.48,104.21
2023-05-30,140.9,136.78,104.25
2023-05-31,140.86,135.62,103.67
2023-06-01,143.12,137.35,104.66
2023-06-02,143.8,138.51,106.17
2023-06-05,142.71,138.74,105.97
2023-06-06,142.42,137.8,106.2
2023-06-07,141.31,133.55,105.83
2023-06-08,143.5,134.33,106.47
2023-06-09,143.81,134.96,106.66
2023-06-12,146.06,137.05,107.63
2023-06-13,145.67,138.05,108.34
2023-06-14,146.18,139.31,108.47
2023-06-15,147.82,143.76,109.81
2023-06-16,146.95,141.38,109.44
2023-06-20,147.03,139.61,108.87
2023-06-21,146.19,137.75,108.31
2023-06-22,148.61,140.29,108.7
2023-06-23,148.35,138.36,107.88
2023-06-26,147.23,135.7,107.44
2023-06-27,149.45,138.17,108.62
2023-06-28,150.39,138.7,108.67
2023-06-29,150.67,138.37,109.1
2023-06-30,154.15,140.64,110.39
2023-07-03,152.95,139.58,110.51
2023-07-05,152.05,139.65,110.35
2023-07-06,152.43,140.94,109.49
2023-07-07,151.53,139.26,109.21
2023-07-10,149.89,137.04,109.49
