Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY,AAPL,MSFT,SPY
Date,,,,,,,,,,,,,,,
2021-05-14,124.23213195800781,238.1147003173828,389.0785827636719,124.66102519199373,239.10304549849073,389.9285106204482,122.67253033910511,235.5622830009087,385.90304661385784,123.06243260302256,235.6486398477899,385.93106496065724,81918000,23901100,82201600
2021-05-17,123.08192443847656,235.2648162841797,388.0885925292969,123.72526428981506,236.6177988375516,388.9011816537385,122.00969878967952,233.67195847192968,386.0711858984487,123.61804098125864,236.57942289581203,387.9671986859142,74244600,24970200,65129200
2021-05-18,121.69778442382812,233.249755859375,384.7449035644531,123.78375308679564,236.44509117389674,388.5929084065509,121.62955208202142,233.07702751284302,384.5861139361804,123.3646094337638,236.31075341180204,388.35006374080274,63342900,20168000,59810200
2021-05-19,121.54181671142578,233.82681274414062,383.7362365722656,121.76600548369002,233.9326086171046,383.9136956201269,119.75801895076617,229.47959883359417,378.57131179137997,120.050447495282,230.1624510972941,380.0563698240923,92612000,25739800,106467100
2021-05-20,124.09566497802734,237.058349609375,387.8644714355469,124.49531683623646,238.47216034186488,389.1253542262279,121.94146411990351,234.53850325579242,384.4928063797059,122.06818662946591,234.6346866469853,384.6142002311314,76857100,21800700,78022200
2021-05-21,122.2631607055664,235.79844665527344,387.5468444824219,124.7682733974029,238.83766010110827,390.5916376819598,122.04871404578164,235.38489032383154,387.0892020087102,124.59281771546705,238.10671616214,389.34942453489305,79295400,21863100,76578700
2021-05-24,123.8909683227539,241.19403076171875,391.49761962890625,124.70976380781524,241.55951010552934,392.57169424932044,122.76025995557121,238.04902113207515,389.5455703108136,122.82849229292907,238.31831706682158,389.7884149825735,63092900,21411500,51376700
2021-05-25,123.6960220336914,242.09808349609375,390.62908935546875,125.08017543327662,243.0887108966254,392.9360287923444,123.1306641265909,241.23249158269627,390.0500243839531,124.59279202902988,242.14617519695508,392.5811106477631,72009500,17704300,57451400
2021-05-26,123.64727783203125,241.87689208984375,391.404296875,124.17364475386753,243.2714634355035,391.90862721701114,123.22813421483384,241.16517303578058,390.180781318248,123.75450113667013,241.819173240438,391.2174888575059,56575900,17771600,43088600
2021-05-27,122.11692810058594,239.7802276611328,391.6097717285156,124.41734339161216,241.86727856189606,392.94536068585694,121.92198067731965,239.72252348400554,391.3295597041095,123.24764397847942,241.56913052971964,392.4316813954646,94625600,24426200,56707700
2021-05-28,121.46382904052734,240.13607788085938,392.3101501464844,122.6237861257757,242.4443476755237,393.4402613734174,121.40534630909178,240.020669527561,392.0766544424052,122.3995899273286,241.40562846925397,393.1787473249645,71311100,18270200,58520200
2021-06-01,121.14215850830078,237.94320678710938,391.9646301269531,122.1851426884376,241.68451217113508,394.81326667212426,120.81074644955004,237.5200379764385,391.5256570082224,121.92196296159237,241.62680800038572,394.67317493272026,67637100,23213300,54216600
2021-06-02,121.90249633789062,237.84701538085938,392.5810241699219,122.07795201493259,239.7417137426011,393.4216315915621,120.91800206254753,236.4428170992417,391.60970246523397,121.1421908829649,238.64529057633396,392.6183914671472,59278900,19406700,49097100
2021-06-03,120.42085266113281,236.3177947998047,391.12396240234375,121.6977752920281,236.92370320657687,392.26342254537116,120.02120080570538,233.7113775070017,388.79835437798243,121.53206925104124,235.84651966073733,390.26471419783354,76229200,25307700,58138800
2021-06-04,122.7115478515625,241.20359802246094,394.701171875,122.97473509725995,242.0307252885861,395.0000532381176,120.72305256856427,238.04897651340795,391.1893871156072,120.93749923194184,238.28942031547314,392.9732978416649,75169300,25281100,55938800
2021-06-07,122.72126770019531,244.10818481445312,394.3183288574219,123.1306617200527,244.37748072250199,394.869375468293,121.67828344764422,240.2610836417249,393.38434575366006,122.98444744531308,240.42458368050268,394.6919163983461,71057600,23079200,51555000
2021-06-08,123.5400619506836,242.91558837890625,394.40228271484375,125.21664395698274,246.22409767473246,395.27087993776814,123.02344459916287,242.85786953493397,392.57168428200526,123.40359727053726,245.40658282034158,395.17747595077844,74403800,22455000,47134300
2021-06-09,123.92021942138672,243.8966064453125,393.81390380859375,124.52456834027448,245.76245296444787,395.3176311744139,123.32562010482052,243.531141793228,393.5897570222941,123.99820136642403,244.10819819545324,395.242896577049,56877900,17937600,48436300
2021-06-10,122.92597198486328,247.4071044921875,395.64453125,124.95345787476269,247.6186962627723,396.5972121670287,122.7602659341765,243.97357380684068,393.7205285195885,123.81299241371467,244.5698698827459,395.0374479909109,71186400,24563600,51020100
2021-06-11,124.13467407226562,248.03225708007812,396.29833984375,124.22240562529288,248.6092988045353,396.41041324763955,122.91623399021204,246.8011564650918,394.90671424062083,123.3353776759092,248.12841113345158,396.1956153911513,53522400,18999700,45570800
2021-06-14,127.1856460571289,249.95578002929688,397.1856384277344,127.24412880162201,250.01348419533974,397.28836288118606,123.86174536220003,246.98386872283527,395.16823163226826,124.59280941543645,248.04182735203915,396.41041653956006,96906500,19150500,42358500
2021-06-15,126.36683654785156,248.4842529296875,396.4571228027344,127.30260492232891,250.05195136807478,397.37240792096816,126.12314857125716,247.83025276859738,395.5791764832327,126.65926509447159,249.84035962759822,397.335069122236,62746300,18038900,51508500
2021-06-16,126.86398315429688,247.54173278808594,394.2435302734375,127.585305081469,250.61939615458576,396.8213323424478,125.21666455636404,244.69487142700754,392.19813383077667,127.07842981173894,249.48450833852118,396.59718555484613,91815000,27220000,80386100
2021-06-17,128.46255493164062,250.92718505859375,394.11285400390625,129.20337594415264,251.74469998319134,395.0935248680887,126.37658632134162,246.2241188200235,391.6378044633818,126.52280804022224,246.28182299342527,393.832670472112,96721700,27565500,90949700
2021-06-18,127.16612243652344,249.51333618164062,388.79608154296875,128.1895998960208,252.27362634365522,391.5228387958726,126.95167585727805,248.85933608179366,388.5899319002041,127.40981037898122,249.70570296444276,390.8294393593685,108953300,37202200,118676300
2021-06-21,128.95965576171875,252.5911102294922,394.36212158203125,129.06687904605207,253.4470751821666,394.54954077381126,125.94767651117064,248.06115573575315,389.74252732580635,127.0101523182265,249.8885233587191,390.55774647735734,79663300,26696100,72822000
2021-06-22,130.59725952148438,255.36099243164062,396.4703674316406,130.69474066397615,255.63028836599736,397.3043454678535,128.29684436989922,252.36985571508916,393.6311417670724,128.7939773736595,252.67763088322698,394.352679752593,74783600,24694100,57700300
2021-06-23,130.3242950439453,255.1301727294922,395.9924621582031,130.92865119213846,256.6305401403005,397.35115077864344,129.8661605700781,254.3222848429845,395.9081321276498,130.39253480000346,255.82265225379285,396.54531142259333,60214200,19518700,49445400
2021-06-24,130.04165649414062,256.495849609375,398.3350830078125,131.240597184488,257.61151244689773,398.75673318670397,129.5737648661965,255.32248260362277,397.88529422084855,131.05539194095186,255.9861098893135,398.13831292432985,68711000,21446900,45110300
2021-06-25,129.7492218017578,254.88966369628906,399.75,130.50952706925113,257.0344330491958,400.1997887962621,129.45679326652197,254.6396220924489,398.75674142988316,130.09039090512184,256.0534328701666,399.08471063989845,70783700,25611100,58129500
2021-06-28,131.3770751953125,258.4482116699219,400.5558776855469,131.8352098315601,258.62132414743763,400.72453776466034,129.98318695524438,255.74562592819686,399.07536933086004,130.04166969629122,256.01492178801493,400.274777553691,62111300,19590000,53159600
2021-06-29,132.88796997070312,261.02587890625,400.77142333984375,133.04393389324414,261.26632279421653,401.5772628150839,130.95796476825768,257.73662295546177,400.2373044711945,131.39660028605826,258.59258793407116,400.9400834258965,64556100,19937800,35970500
2021-06-30,133.5020294189453,260.54486083984375,401.1087341308594,133.9406648079474,260.9872691541704,401.78340305544015,132.43953852296474,259.2945649880765,400.2841356012442,132.73196707347742,260.3428962932451,400.3122456149289,63261400,21656500,64827900
2021-07-01,133.8042449951172,261.2181396484375,403.3295593261719,133.86272775012063,261.4489562947867,403.48886848690523,132.33235958434912,259.2945893260647,401.8021816752853,133.15116277501394,259.30418711896345,401.86778124712555,52485800,16725300,53441000
2021-07-02,136.42628479003906,267.036865234375,406.4123229980469,136.46526832234767,267.373492407976,406.76840218909126,134.27207651002422,262.0837290689693,403.41378848033645,134.41828334809892,262.39150416203586,404.49140558885847,78852600,26458000,57697700
2021-07-06,138.4342803955078,267.0466003417969,405.6720275878906,139.53574001915328,268.69122829926044,406.6840450735782,136.53351700878477,263.8150192602076,402.9358914741421,136.53351700878477,267.402452595938,406.4685159469993,108181800,31565600,68710400
2021-07-07,140.9198760986328,269.229736328125,407.10577392578125,141.231788943126,269.9606949040537,407.38690265779184,139.05809657469072,266.55600233060557,404.3415272693066,139.91586805219615,268.71999662413555,406.35615449938257,104911600,23260000,63549500
2021-07-08,139.62347412109375,266.8157653808594,403.78863525390625,140.42276298269945,268.07568890593086,404.54763413664995,137.11835448019005,264.36322030721055,400.60268153812575,138.0053823208354,266.31562334882244,401.78335917623605,105575500,24618600,97595200
2021-07-09,141.4462432861328,267.3158264160156,408.0989685058594,141.97260274724476,267.4216076093967,408.39882766783205,139.04834716131978,264.79597985271084,403.591815925737,139.1458282969305,265.18068409845046,405.2972327387951,99890800,23916700,76238600
2021-07-12,140.85165405273438,266.71954345703125,409.5608215332031,142.62570970674338,269.0758754216596,409.8138402584851,140.364278087154,266.0078097490521,407.58368379970483,142.51848639937432,268.48920655469243,408.0147135517589,76299700,18931700,52889600
2021-07-13,141.9628448486328,270.2396545410156,408.16461181640625,143.7369001800956,272.03816979015454,410.27294851905754,140.00359917768813,266.7868844783001,407.9022421705888,140.3934939298509,266.9118906217508,408.7736811446095,100827100,26120100,52911300
2021-07-14,145.3842010498047,271.71112060546875,408.773681640625,145.79360982701007,272.8171562130653,410.3479281135863,143.95131495017475,269.8260200844515,407.52743297051677,144.36072372738016,271.557233051648,409.8606497735151,127050800,23113700,64130400
2021-07-15,144.7311553955078,270.2876892089844,407.3775329589844,146.21278242197315,271.71112710257626,408.10842192602513,143.37625087333885,269.1335472032558,405.4753457373174,145.47197634550716,271.22061234748406,407.43375298751454,106820300,22604200,55126400
2021-07-16,142.69393920898438,270.0184631347656,404.18212890625,145.97884856339024,273.24041682866897,408.604951176433,142.1968210625346,268.7777645604806,403.78858880291534,144.7116829108476,271.28801379910107,408.5581106961786,93251400,26186800,75874700
2021-07-19,138.85340881347656,266.42138671875,398.2132568359375,140.43251704679776,269.65293765611636,404.24778712950507,138.0931035014654,263.9592442852176,395.40214130525,140.12058929133983,268.2679788683728,399.35644496226297,121434600,32935600,147987000
2021-07-20,142.4600067138672,268.64312744140625,403.9197998046875,143.38603306380864,270.2300510737556,405.19418699140346,139.35056015600642,265.7000968938325,398.08203985333273,139.83793618290784,267.4024288847443,398.8785282705121,96350000,26259700,99608200
2021-07-21,141.7289276123047,270.6435546875,407.1900939941406,142.4405072449087,270.75896302355244,407.33067265477706,140.97837931958148,266.69067242244347,403.8729980876093,141.85565012536404,268.23911651623393,405.1192467876088,74993500,24364300,64724400
2021-07-22,143.09356689453125,275.2024230957031,408.0428466796875,144.45821346206498,275.4717190297968,408.28648588193806,142.1285572602189,272.5863928711976,406.3842985469024,142.25527975346566,272.9903220968104,407.3681777009672,77338200,23384100,47878500
2021-07-23,144.8091583251953,278.5974426269531,412.24072265625,144.96512221870486,278.9051883924715,412.57804279229185,143.21056560056124,275.5486022461029,409.28905708130054,143.8246641352954,276.38534199654606,409.97307688921177,71447400,22768100,63766600
2021-07-26,145.22828674316406,278.0010986328125,413.25274658203125,146.04707474588002,278.61664882454664,413.2621261186514,143.97084849928373,275.68324632300676,411.60357811733337,144.5264642055409,277.9530216151671,411.65041860813767,72434100,23176100,43719200
2021-07-27,143.06434631347656,275.587158203125,411.3692932128906,145.4427434254304,278.5109345714232,412.24073218061153,141.87514775749966,272.1343877026181,408.53941855758904,145.35500444699645,278.36667411756946,412.2126221686252,104818600,33604100,67397100
2021-07-28,141.3195037841797,275.27935791015625,411.2005615234375,143.25926511063363,279.0591282119056,412.57800915894387,138.9411071473103,272.9807006010522,409.77627340490346,141.1537977724019,277.9434652186941,411.9970499079121,118931200,33566900,52472400
2021-07-29,141.9628448486328,275.54864501953125,412.9060363769531,142.8498725143642,277.5876041189694,413.9836250033735,140.92961036922324,275.1446864474467,412.11892741688575,141.0368336570977,275.29857402961915,412.12830695326727,56699500,18168300,47435300
2021-07-30,142.1772918701172,274.01947021484375,410.9007873535156,142.63542638578699,275.70257739504893,412.3531856804309,140.4714762953773,273.05769468329794,410.207359374989,140.73466343435456,274.26954124538486,410.33855849930256,70440600,20944800,68951200
2021-08-02,141.8459014892578,273.93292236328125,410.03875732421875,143.2397895751834,275.80836709683444,413.1684631203234,141.582714310116,272.89418832067446,409.68267804628834,142.6646895204393,275.41403559464675,412.6156137242241,62880000,16267400,58783300
2021-08-03,143.6394500732422,276.1449279785156,413.37451171875,144.30227426975748,276.2507385273349,413.4963312941715,141.51448305654833,273.1441936458983,408.6424789249471,142.12858155366985,274.50992752859145,410.83514549410086,64786600,17879000,58053900
2021-08-04,143.2398223876953,275.5582580566406,411.3411865234375,144.05861060643986,276.59696249430243,413.346434118997,142.58674024606307,273.76934068765456,411.10692688961086,143.55175020828588,275.27933499379344,412.09080591322396,56368300,16191300,46732200
2021-08-05,143.3470001220703,278.4531555175781,413.9461364746094,144.10730535100612,278.55896605599236,414.0304665079831,142.47947159810346,275.1639006499143,412.1844995210822,143.2690181917266,275.9140841592982,412.5030891792091,46397700,13900200,38969700
2021-08-06,142.66368103027344,278.3955078125,414.6302490234375,143.61060825982952,278.4339870480046,415.0519278807742,142.16581806356817,276.6258445430264,413.9836900268023,142.86869219057516,277.4818387644274,414.26481879707745,54126800,16589300,46930000
2021-08-09,142.61488342285156,277.3086853027344,414.29296875,143.21037365568,280.40560323278316,414.920768731442,142.05845003246944,276.808572666281,413.5245900717934,142.72226739584752,278.67441927108996,414.6021789713416,48908700,16117600,41222600
2021-08-10,142.1365203857422,275.4908752441406,414.8081970214844,144.19632898598317,278.1934610570605,415.5203554334606,141.84365370926938,274.2982834551078,414.0585776586694,142.95653516321173,277.7606505008222,414.742597463298,69023100,18616600,43339300
2021-08-11,142.3903045654297,275.9814147949219,415.8390197753906,143.22984760890972,277.6260422247308,415.9327293616088,142.06815276895088,274.93305396223553,414.752051486792,142.57578725696132,276.23145639673766,415.87650932910805,48493500,13955900,44034300
2021-08-12,145.3482666015625,278.73211669921875,417.08514404296875,145.50446416374155,278.8860042800306,417.22572267838126,142.37081574173467,275.3947550024405,414.7894171451749,142.71249604702388,275.67367807710286,415.6889659926469,72282600,14561300,38909400
2021-08-13,145.5532684326172,281.6559753417969,417.8442687988281,145.88517705910473,281.7040523788136,417.86299927638066,144.7430103885552,278.2416545328539,417.0477802625369,145.42635605950554,278.4147964384472,417.53503004424323,59375000,18249000,39470300
2021-08-16,147.5251922607422,283.3390197753906,418.8280944824219,147.59353426907154,283.55061152329273,418.95926500085824,142.9858112009547,278.93407230117066,414.98623095911614,145.0065628373872,281.98291302988906,416.54171828206023,103296000,22507600,73740000
2021-08-17,146.6173095703125,281.8771057128906,416.0826110839844,148.07185618392833,282.2137329544662,416.9446705471954,145.54347021491796,279.9535550193779,413.0934557834653,146.65635150331968,281.21350772659866,416.27000163869883,92229700,20075300,92673900
2021-08-18,142.87843322753906,280.15228271484375,411.5285949707031,147.134719463398,284.09347133334273,416.6354666486862,142.67342208980006,279.70899787712983,411.2849843863083,146.23660593235846,281.4146181894163,415.07059964436183,86326000,21813000,89351900
2021-08-19,143.21034240722656,285.9725036621094,412.1658020019531,144.4794213850425,286.64704708243323,413.36523891211175,141.0626783117476,278.13832497152845,408.6612866430519,141.5800696426097,278.1864940413031,408.8018367196642,86960300,29850500,92812200
2021-08-20,144.66488647460938,293.28631591796875,415.44537353515625,144.9675098694575,294.7124789833826,415.7733427277286,143.28842371499448,287.21554348054167,412.02518874666305,143.93272733385453,288.8151504653693,412.51246706573465,60549600,40817600,72008700
2021-08-23,146.1487579345703,293.56585693359375,419.09991455078125,146.61733569322215,294.2885695451522,420.00884318252696,144.37204430196212,290.8677416133428,415.52042005494565,144.7820517027598,292.21679927346827,417.1321276721808,60131800,22830200,54973000
2021-08-24,146.0608673095703,291.6095886230469,419.76513671875,147.27137582254224,294.5293451223388,420.2992555252089,145.6020463753851,291.0121511635646,419.2497769837676,145.8949130199866,293.9222620885944,419.76513671875,48606400,18175800,38744700
2021-08-25,144.83082580566406,291.0218811035156,420.6459655761719,146.74420805011133,293.50799918306285,421.1613253238744,144.28414942034036,289.4897341208387,419.57772793688787,146.24633035248027,293.22854211359436,419.952566221922,58991300,20006100,40529700
